256,0.357771,1000
76,0,0.0629198,0.0110264
76,0,0.0163276,0.0216094
76,0,0.0226994,0.0373707
76,0,0.0178652,0.0459111
76,0,0.0830576,0.04355
76,0,0.0649391,0.0535643
76,0,0.0886425,0.0587256
76,0,0.00798754,0.0632479
76,0,0.0450483,0.062538
76,0,0.0633689,0.0635732
76,0,0.0785313,0.0696888
76,0,0.0642769,0.0794213
76,0,0.0248792,0.0868763
76,0,0.0587703,0.0882396
76,0,0.0727581,0.0840991
76,0,0.0890175,0.0875182
78,0,0.0133984,0.00877021
78,0,0.0404457,0.00142238
78,0,0.0626056,0.0118825
78,0,0.0831431,0.0102954
78,0,0.0172193,0.0213985
78,0,0.0220366,0.0370525
78,0,0.0172853,0.045198
78,0,0.0824742,0.0435884
78,0,0.0644331,0.0533102
78,0,0.0876522,0.0591633
78,0,0.00750012,0.0632863
78,0,0.045141,0.0635366
78,0,0.0628208,0.0630331
78,0,0.0782182,0.0686983
78,0,0.0645117,0.0789458
78,0,0.0238223,0.0868527
78,0,0.0579527,0.0876773
78,0,0.073,0.0830532
78,0,0.0887789,0.0873453
80,0,0.0128423,0.00779064
80,0,0.0405648,0.000799232
80,0,0.0622915,0.0127386
80,0,0.083417,0.0110872
80,0,0.018111,0.0211876
80,0,0.0216479,0.0362635
80,0,0.0164312,0.0449557
80,0,0.0818908,0.0436268
80,0,0.0639485,0.0529279
80,0,0.086662,0.0596011
80,0,0.0070127,0.0633247
80,0,0.0452336,0.0645352
80,0,0.0622513,0.0626212
80,0,0.0779051,0.0677078
80,0,0.0642557,0.0782289
80,0,0.0227654,0.086829
80,0,0.0571351,0.087115
80,0,0.0737328,0.0822487
80,0,0.0885402,0.0871723
82,0,0.0122863,0.00681107
82,0,0.0406839,0.000176085
82,0,0.0619773,0.0135947
82,0,0.0836909,0.0118791
82,0,0.0190026,0.0209768
82,0,0.021299,0.0354071
82,0,0.0155373,0.0447807
82,0,0.0813074,0.0436652
82,0,0.0634886,0.0524042
82,0,0.00652528,0.0633632
82,0,0.0453263,0.0655338
82,0,0.0616572,0.0623507
82,0,0.0775921,0.0667173
82,0,0.0856717,0.0600389
82,0,0.0639546,0.0774915
82,0,0.0217086,0.0868054
82,0,0.0563174,0.0865527
82,0,0.0745106,0.0814646
82,0,0.0883016,0.0869993
84,0,0.0117303,0.0058315
84,0,0.040803,0.000447061
84,0,0.0616631,0.0144508
84,0,0.0839649,0.0126709
84,0,0.0198943,0.0207659
84,0,0.0209502,0.0345507
84,0,0.0146434,0.0446058
84,0,0.080724,0.0437036
84,0,0.0630299,0.051873
84,0,0.00603786,0.0634016
84,0,0.045419,0.0665324
84,0,0.0610618,0.0620877
84,0,0.0772318,0.0657631
84,0,0.0847287,0.0604402
84,0,0.0636535,0.0767542
84,0,0.0206517,0.0867817
84,0,0.0554998,0.0859904
84,0,0.0752884,0.0806805
84,0,0.0880629,0.0868264
86,0,0.0111742,0.00485193
86,0,0.0409221,0.00107021
86,0,0.061349,0.0153069
86,0,0.0842388,0.0134627
86,0,0.020786,0.020555
86,0,0.0206014,0.0336944
86,0,0.0137495,0.0444308
86,0,0.0801406,0.043742
86,0,0.0625713,0.0513418
86,0,0.00555044,0.06344
86,0,0.0455117,0.0675309
86,0,0.0604663,0.0618247
86,0,0.0762104,0.0652674
86,0,0.0844468,0.0603832
86,0,0.0633525,0.0760169
86,0,0.0760662,0.0798964
86,0,0.0195948,0.0867581
86,0,0.0546822,0.0854281
86,0,0.0878242,0.0866534
88,0,0.0106182,0.00387236
88,0,0.0410412,0.00169335
88,0,0.0610348,0.016163
88,0,0.0845128,0.0142545
88,0,0.0216776,0.0203442
88,0,0.0202526,0.032838
88,0,0.0128556,0.0442558
88,0,0.0795572,0.0437804
88,0,0.0621127,0.0508106
88,0,0.00506302,0.0634784
88,0,0.0456043,0.0685295
88,0,0.0598709,0.0615617
88,0,0.0747646,0.0650359
88,0,0.0845892,0.0600619
88,0,0.0630514,0.0752796
88,0,0.076844,0.0791123
88,0,0.018538,0.0867344
88,0,0.0538645,0.0848659
88,0,0.0875856,0.0864805
90,0,0.0100622,0.00289279
90,0,0.0411603,0.0023165
90,0,0.0607206,0.0170191
90,0,0.0847737,0.0150316
90,0,0.0225693,0.0201333
90,0,0.0199037,0.0319816
90,0,0.0119617,0.0440809
90,0,0.0789738,0.0438188
90,0,0.061654,0.0502794
90,0,0.0847316,0.0597406
90,0,0.0045756,0.0635168
90,0,0.045697,0.0695281
90,0,0.0592754,0.0612987
90,0,0.0733189,0.0648044
90,0,0.0627503,0.0745422
90,0,0.0776218,0.0783282
90,0,0.0174811,0.0867108
90,0,0.0530469,0.0843036
90,0,0.0873469,0.0863075
92,0,0.00950612,0.00191322
92,0,0.0412793,0.00293965
92,0,0.023461,0.0199224
92,0,0.0604065,0.0178752
92,0,0.0849431,0.0156979
92,0,0.0195549,0.0311252
92,0,0.0110678,0.0439059
92,0,0.0611954,0.0497481
92,0,0.0783904,0.0438572
92,0,0.084874,0.0594194
92,0,0.00408818,0.0635553
92,0,0.05868,0.0610357
92,0,0.0718732,0.0645729
92,0,0.0457897,0.0705267
92,0,0.0624492,0.0738049
92,0,0.0783996,0.0775441
92,0,0.0164243,0.0866871
92,0,0.0522293,0.0837413
92,0,0.0871083,0.0861346
94,0,0.00895009,0.00093365
94,0,0.0413984,0.00356279
94,0,0.0243527,0.0197116
94,0,0.0600923,0.0187313
94,0,0.0850694,0.0163082
94,0,0.0192061,0.0302689
94,0,0.0101739,0.043731
94,0,0.0607368,0.0492169
94,0,0.077807,0.0438956
94,0,0.0850165,0.0590981
94,0,0.00360076,0.0635937
94,0,0.0580845,0.0607727
94,0,0.0704274,0.0643415
94,0,0.0458823,0.0715253
94,0,0.0621481,0.0730676
94,0,0.0791774,0.07676
94,0,0.0153674,0.0866635
94,0,0.0514116,0.083179
94,0,0.0868696,0.0859616
96,0,0.00839405,4.59191e-05
96,0,0.0415175,0.00418594
96,0,0.0252443,0.0195007
96,0,0.0597781,0.0195874
96,0,0.0851957,0.0169184
96,0,0.0188572,0.0294125
96,0,0.00928002,0.043556
96,0,0.0602782,0.0486857
96,0,0.0772236,0.043934
96,0,0.0851589,0.0587768
96,0,0.00311334,0.0636321
96,0,0.0574891,0.0605098
96,0,0.0689817,0.06411
96,0,0.045975,0.0725239
96,0,0.061847,0.0723303
96,0,0.0799552,0.0759759
96,0,0.0143105,0.0866399
96,0,0.050594,0.0826167
96,0,0.086631,0.0857887
98,0,0.00783801,0.00102549
98,0,0.0416366,0.00480909
98,0,0.026136,0.0192898
98,0,0.085322,0.0175286
98,0,0.0185084,0.0285561
98,0,0.059464,0.0204435
98,0,0.00838612,0.043381
98,0,0.0598195,0.0481545
98,0,0.0766402,0.0439724
98,0,0.0853013,0.0584556
98,0,0.00262592,0.0636705
98,0,0.0568936,0.0602468
98,0,0.0675359,0.0638785
98,0,0.0460677,0.0735224
98,0,0.061546,0.0715929
98,0,0.080733,0.0751918
98,0,0.0132537,0.0866162
98,0,0.0497764,0.0820544
98,0,0.0863923,0.0856157
100,0,0.00728198,0.00200506
100,0,0.0417557,0.00543223
100,0,0.0270277,0.019079
100,0,0.0854483,0.0181388
100,0,0.0181596,0.0276998
100,0,0.0591498,0.0212996
100,0,0.00749222,0.0432061
100,0,0.0593609,0.0476232
100,0,0.0760568,0.0440108
100,0,0.0562982,0.0599838
100,0,0.0854437,0.0581343
100,0,0.0021385,0.0637089
100,0,0.0662757,0.0633983
100,0,0.0458512,0.0737982
100,0,0.0610594,0.0711043
100,0,0.0815109,0.0744077
100,0,0.0121968,0.0865926
100,0,0.0492679,0.082215
100,0,0.0861537,0.0854427
102,0,0.00672594,0.00298463
102,0,0.0418748,0.00605538
102,0,0.0279193,0.0188681
102,0,0.0855746,0.018749
102,0,0.0178107,0.0268434
102,0,0.0588356,0.0221557
102,0,0.00659832,0.0430311
102,0,0.0589023,0.047092
102,0,0.0754734,0.0440492
102,0,0.0557027,0.0597208
102,0,0.0855861,0.057813
102,0,0.00165108,0.0637474
102,0,0.0653965,0.0623615
102,0,0.0452693,0.0731858
102,0,0.0601917,0.0711723
102,0,0.0822887,0.0736236
102,0,0.0111399,0.0865689
102,0,0.0491248,0.0832637
102,0,0.085915,0.0852698
